Gene,Normal Range,Target Value,Abnormality
ENSG00000079805,"(133.98939939275112, 756.4250449492245)",87.5123,Significantly Less
ENSG00000178952,"(147.82245004117183, 402.61221598602594)",598.2143,Significantly More
ENSG00000100129,"(131.3148677929658, 636.8692019144166)",78.3209,Significantly Less
ENSG00000132341,"(9.714239855046316, 273.3340688434537)",337.444,Significantly More
ENSG00000115268,"(60.584102869012725, 491.66382932697474)",1076.4501,Significantly More
ENSG00000170348,"(167.94119876806323, 422.91982375139014)",167.9323,Significantly Less
ENSG00000107581,"(16.137355392167443, 96.92996080292156)",114.3391,Significantly More
ENSG00000135926,"(289.9088638161563, 1023.946416465247)",42.9775,Significantly Less
ENSG00000183283,"(287.6762989967578, 705.8544606691687)",153.876,Significantly Less
ENSG00000128272,"(17.11146782654677, 301.232331617133)",313.9737,Significantly More
ENSG00000116209,"(96.58652539305405, 766.864165558223)",63.9961,Significantly Less
ENSG00000171603,"(22.38867380790532, 154.22590423700154)",179.7686,Significantly More
ENSG00000160710,"(16.00838937706148, 56.297337380803)",61.9957,Significantly More
ENSG00000183255,"(175.8859817484539, 804.9799596487017)",170.9486,Significantly Less
ENSG00000153113,"(103.05527687491181, 264.9361147359841)",46.5314,Significantly Less
ENSG00000105281,"(4.943765659273623, 136.35464619971003)",347.007,Significantly More
ENSG00000189060,"(56.97535709642359, 199.35658458453548)",263.6782,Significantly More
ENSG00000135387,"(164.38486398843082, 460.6568954359033)",77.5529,Significantly Less
ENSG00000114391,"(-7.783608629968597, 419.152253790812)",544.1969,Significantly More
ENSG00000137497,"(73.04498375505295, 573.8938585338581)",26.2896,Significantly Less
ENSG00000198380,"(8.05443695927115, 76.73029729939037)",121.2991,Significantly More
ENSG00000196419,"(59.15683677108204, 156.4864891551748)",292.8037,Significantly More
ENSG00000125107,"(143.53137755487666, 619.301148450875)",52.5412,Significantly Less
ENSG00000109686,"(41.857690583227935, 142.90129048778368)",39.3278,Significantly Less
ENSG00000163466,"(222.65754939937432, 625.3574661715654)",130.3849,Significantly Less
ENSG00000124145,"(33.66811746673304, 91.2694944278848)",167.3618,Significantly More
ENSG00000157734,"(8.96453060378716, 115.20187083144668)",1.0194,Significantly Less
ENSG00000257379,"(88.79174813510248, 221.49390563231128)",0.0,Significantly Less
ENSG00000125970,"(143.8378472948977, 392.0295341400276)",130.1402,Significantly Less
ENSG00000231925,"(-1.4876299193989695, 173.56552575325668)",235.6908,Significantly More
ENSG00000101421,"(78.67151750421348, 256.0442975194053)",532.3185,Significantly More
ENSG00000177606,"(-19.962258987163757, 139.12061978924876)",277.2009,Significantly More
ENSG00000101311,"(3.383638374535849, 61.9216271834204)",178.0647,Significantly More
ENSG00000108375,"(0.9906494815321665, 32.55287943357027)",48.2799,Significantly More
ENSG00000101182,"(17.349834268584488, 252.80801256558746)",554.2007,Significantly More
ENSG00000198563,"(70.41423860864543, 286.40768415695777)",32.0555,Significantly Less
ENSG00000142669,"(114.43628186526593, 649.794063507579)",1402.1511,Significantly More
ENSG00000096433,"(0.6272620878879174, 42.108599600911475)",84.6289,Significantly More
ENSG00000140740,"(241.5770631906522, 883.6660183178914)",120.4266,Significantly Less
ENSG00000116133,"(-9.724614253806877, 193.27212899439206)",249.9912,Significantly More
ENSG00000118816,"(173.79016767101655, 691.4868302059718)",154.5824,Significantly Less
ENSG00000100219,"(-3.785657207612161, 240.4032651695574)",327.1821,Significantly More
ENSG00000106211,"(-287.5328205100973, 976.1134772430564)",1184.0538,Significantly More
ENSG00000125835,"(5.459365509024643, 94.70896346265437)",754.0875,Significantly More
ENSG00000136997,"(-6.834471501765947, 74.53469734678566)",250.4224,Significantly More
ENSG00000197451,"(49.57644537106739, 216.68586739842317)",495.1582,Significantly More
ENSG00000165678,"(40.51186079086051, 146.23459950471943)",340.8572,Significantly More
ENSG00000103495,"(33.980885494425905, 289.63705000440564)",29.4025,Significantly Less
ENSG00000089220,"(-14.683299552284154, 452.67382890235314)",771.5564,Significantly More
ENSG00000140526,"(55.71912805261928, 397.43037672983286)",49.2158,Significantly Less
ENSG00000102572,"(48.33193656868387, 153.66198954826842)",16.7635,Significantly Less
ENSG00000168264,"(5.985642705917719, 59.2688918925786)",103.3272,Significantly More
ENSG00000105438,"(144.12154599693747, 344.1966352450259)",523.986,Significantly More
ENSG00000242372,"(79.53978852124742, 219.70957689208757)",423.1406,Significantly More
ENSG00000089472,"(20.05493905416178, 126.68475271782133)",152.7177,Significantly More
ENSG00000115524,"(141.01866859279872, 376.93982073782024)",58.2677,Significantly Less
ENSG00000102265,"(-129.78840106501406, 333.0376948440134)",1118.6117,Significantly More
ENSG00000158769,"(88.67534575138802, 451.6172680928845)",64.4568,Significantly Less
ENSG00000115091,"(125.13541050621177, 460.3549474320205)",57.7572,Significantly Less
ENSG00000118181,"(72.35625505462377, 500.54003926662375)",542.5658,Significantly More
ENSG00000134287,"(245.08808931998186, 918.5965836532373)",164.5453,Significantly Less
ENSG00000161010,"(120.08016550639078, 359.95313500695204)",5.3043,Significantly Less
ENSG00000144426,"(21.93543184499535, 105.27614364892689)",0.985,Significantly Less
ENSG00000182492,"(-29.916763896059887, 65.26626670586992)",263.117,Significantly More
ENSG00000164754,"(24.1032479062191, 64.75832596480284)",112.14,Significantly More
ENSG00000133216,"(-0.9108975854545349, 61.891255548326484)",104.3279,Significantly More
ENSG00000082641,"(352.9499624477629, 845.6575702369065)",74.1818,Significantly Less
ENSG00000162909,"(97.39363657338032, 730.8792046222297)",64.6183,Significantly Less
ENSG00000162981,"(-10.931887629920183, 120.24417259855754)",163.1813,Significantly More
ENSG00000122218,"(25.494641808534762, 70.54711179427352)",86.0009,Significantly More
ENSG00000111642,"(13.964099339873592, 139.5445710862759)",11.6442,Significantly Less
ENSG00000086232,"(135.09101047229223, 309.9468065767583)",102.7394,Significantly Less
ENSG00000152767,"(124.80107685463885, 319.94210313233265)",5.5378,Significantly Less
ENSG00000085063,"(69.48102378306152, 415.89581355471034)",26.788,Significantly Less
ENSG00000136810,"(79.28168405738222, 461.6511468177531)",1285.0786,Significantly More
ENSG00000125398,"(-4.558558974572934, 34.37948746166961)",301.7236,Significantly More
ENSG00000182054,"(3.6625800048997235, 222.09349785349434)",486.4246,Significantly More
ENSG00000172354,"(85.31555067547833, 210.37867861750198)",304.8533,Significantly More
ENSG00000152348,"(32.86247022498989, 335.88625089615243)",3.2392,Significantly Less
ENSG00000143947,"(69.20193874985702, 430.380142341019)",558.2445,Significantly More
ENSG00000178035,"(19.468884135098925, 98.45586927558705)",172.5216,Significantly More
ENSG00000124155,"(43.503052275655634, 131.0546232500937)",34.7317,Significantly Less
ENSG00000175215,"(114.68628304792065, 552.4919786015425)",93.6894,Significantly Less
ENSG00000130429,"(48.41018904080278, 192.06115845202874)",1.7766,Significantly Less
ENSG00000204463,"(118.21294565590279, 313.17925514799623)",107.7852,Significantly Less
ENSG00000197879,"(283.89704750461743, 865.7733140451073)",110.0764,Significantly Less
ENSG00000113719,"(50.48945302511406, 142.23073989037545)",48.4357,Significantly Less
ENSG00000184216,"(31.228906109418205, 94.54340033681387)",329.6647,Significantly More
ENSG00000106153,"(7.822676819804286, 346.3944205564691)",576.5916,Significantly More
ENSG00000179091,"(3.4866778579152253, 391.94369846242444)",669.1834,Significantly More
ENSG00000114942,"(-38.176868314301856, 459.7236932497934)",537.0992,Significantly More
ENSG00000269888,"(180.8833799181558, 1002.6538626862301)",0.0,Significantly Less
ENSG00000166508,"(1.939395168971906, 71.46352869558277)",211.7534,Significantly More
ENSG00000170027,"(19.419446567843195, 55.64158685781749)",149.6889,Significantly More
ENSG00000251357,"(10.834912764592502, 170.6000176936979)",0.0,Significantly Less
ENSG00000136450,"(38.58780346797127, 184.29686204169198)",35.1768,Significantly Less
ENSG00000079459,"(20.142047918232052, 185.93069527030934)",487.7151,Significantly More
ENSG00000115484,"(23.852824083647562, 122.34134171517891)",189.8147,Significantly More
ENSG00000070831,"(34.75993191385655, 166.02237470537145)",33.9222,Significantly Less
ENSG00000138760,"(53.25883437263362, 145.07465960635847)",25.7273,Significantly Less
ENSG00000165556,"(5.434490594332686, 241.1482022548124)",289.7921,Significantly More
ENSG00000102007,"(24.80682608164824, 264.45002757924976)",619.5309,Significantly More
ENSG00000183779,"(-0.4693199137674249, 63.19115631120508)",438.2839,Significantly More
ENSG00000054793,"(3.469186060309994, 37.573534791704475)",46.9251,Significantly More
ENSG00000013306,"(59.07162976547282, 234.69748144788764)",324.238,Significantly More
ENSG00000123562,"(23.386611152401827, 250.70171291445996)",302.2335,Significantly More
ENSG00000171223,"(-42.825381402158655, 226.92002741588288)",395.2365,Significantly More
ENSG00000137331,"(-54.03705799923408, 185.05910283329894)",407.0162,Significantly More
ENSG00000087365,"(124.89082302749148, 243.94216141599014)",62.8996,Significantly Less
ENSG00000124172,"(37.16925151244909, 113.04747676583011)",140.511,Significantly More
ENSG00000076554,"(121.09819394653044, 672.9539050710657)",51.6956,Significantly Less
ENSG00000109332,"(180.4759051392128, 500.09097175846784)",47.007,Significantly Less
ENSG00000115758,"(-19.00961622561435, 104.2940183698452)",268.6543,Significantly More
ENSG00000062485,"(165.7845745051775, 479.9892556133128)",132.8013,Significantly Less
ENSG00000170144,"(4.824991404381958, 42.63215307045016)",117.3705,Significantly More
ENSG00000131051,"(43.65573085875698, 206.59908193924878)",43.0939,Significantly Less
ENSG00000214078,"(26.02232202422674, 141.58335996928008)",148.5323,Significantly More
ENSG00000124214,"(27.83599753766299, 52.610057335121155)",118.7121,Significantly More
ENSG00000269242,"(50.59309476987664, 338.58616142286326)",0.0,Significantly Less
ENSG00000164032,"(5.58388357808748, 254.07853109137102)",363.718,Significantly More
ENSG00000113712,"(56.34087721978392, 129.13171741939465)",26.2145,Significantly Less
ENSG00000063245,"(117.44570844751189, 692.6301327891913)",60.8515,Significantly Less
ENSG00000081923,"(78.49727047818874, 661.1024783691034)",69.818,Significantly Less
ENSG00000163993,"(-312.4499989834468, 521.4590656469852)",2240.3973,Significantly More
ENSG00000179818,"(114.84405775140205, 242.38525630445582)",0.6551,Significantly Less
ENSG00000105202,"(48.55596772224757, 216.30252200058496)",744.0035,Significantly More
ENSG00000188157,"(4.0282285978298304, 79.06902220653535)",89.7952,Significantly More
ENSG00000107223,"(137.49909488847908, 407.84558279484855)",463.466,Significantly More
ENSG00000112245,"(15.05695875913915, 342.95322636062133)",0.0546,Significantly Less
ENSG00000089693,"(111.95435366204597, 280.44505622083705)",379.7994,Significantly More
ENSG00000145907,"(67.57615309936259, 226.2710953968431)",29.5505,Significantly Less
ENSG00000160213,"(11.381286429329172, 137.39662797613565)",346.2834,Significantly More
ENSG00000064666,"(4.927384370780615, 128.67547057618333)",182.1799,Significantly More
ENSG00000159140,"(69.50220380434337, 317.5972027755169)",35.5588,Significantly Less
ENSG00000159377,"(42.798870827467766, 254.0435151216988)",301.0678,Significantly More
ENSG00000100664,"(139.43035205077766, 456.13261677393837)",49.7113,Significantly Less
ENSG00000077549,"(85.02971391629241, 150.0702145276005)",38.5828,Significantly Less
ENSG00000121057,"(159.16030669825273, 360.08465475093794)",91.182,Significantly Less
ENSG00000155096,"(8.604711263412202, 51.339834425576996)",75.4115,Significantly More
ENSG00000179010,"(35.95566931407754, 167.4998589898797)",200.3143,Significantly More
ENSG00000170248,"(124.2164482634488, 733.7964658196521)",51.3144,Significantly Less
ENSG00000159335,"(-130.5006454345696, 405.06187055566716)",841.2215,Significantly More
ENSG00000118971,"(0.985094927960743, 32.95881522070434)",146.9913,Significantly More
ENSG00000275023,"(42.667931882261115, 177.75314568288988)",34.2445,Significantly Less
ENSG00000169223,"(75.60142261970212, 200.18891863661503)",317.0688,Significantly More
ENSG00000142634,"(49.6704157777221, 191.6541242656389)",496.56,Significantly More
ENSG00000120694,"(-2.6997191955952538, 36.947357105096316)",43.1526,Significantly More
ENSG00000131473,"(16.374860112528836, 98.44396537814069)",140.2396,Significantly More
ENSG00000179051,"(10.879933328908194, 82.6056224760436)",139.1423,Significantly More
ENSG00000238045,"(79.84478752496148, 507.22838941880445)",5.0759,Significantly Less
ENSG00000126267,"(177.97474368985445, 622.6444006146365)",678.4154,Significantly More
ENSG00000162522,"(8.566129769008505, 102.0428327013106)",103.7698,Significantly More
ENSG00000178719,"(-1.8313380897823777, 199.07434068924238)",340.1786,Significantly More
ENSG00000128050,"(3.3586678944311785, 54.78366412316788)",89.9546,Significantly More
ENSG00000007202,"(170.87784190232475, 421.8306949751355)",41.5076,Significantly Less
ENSG00000113722,"(31.778324965186584, 235.85351188472532)",582.6892,Significantly More
ENSG00000100412,"(43.169544920550564, 161.13058558624664)",32.2117,Significantly Less
ENSG00000125753,"(224.7937854094598, 437.6776073409188)",185.3443,Significantly Less
ENSG00000090060,"(134.89079855147747, 258.51530009423954)",37.4568,Significantly Less
ENSG00000126777,"(63.252173132160166, 213.8457697985595)",24.0039,Significantly Less
ENSG00000084733,"(113.89352026983649, 238.56420357399395)",110.3991,Significantly Less
ENSG00000136938,"(59.70341665858638, 258.806965202726)",364.7748,Significantly More
ENSG00000189334,"(15.241291103400613, 434.4229218881628)",450.5875,Significantly More
ENSG00000124783,"(54.704728713103066, 167.52292720996164)",44.8959,Significantly Less
ENSG00000204262,"(-8.335564745924408, 33.060573997741486)",41.0903,Significantly More
ENSG00000129250,"(213.15662298508113, 543.0606104208209)",75.9006,Significantly Less
ENSG00000171552,"(15.696032110038491, 57.45344026674911)",57.7916,Significantly More
ENSG00000095139,"(32.00714022762916, 84.47099127993002)",104.985,Significantly More
ENSG00000196878,"(-13.484171295021184, 96.23525771411174)",113.3763,Significantly More
ENSG00000105640,"(8.250426616755277, 195.69755984499423)",454.3117,Significantly More
ENSG00000156261,"(43.50767443569855, 165.25346272800897)",208.4555,Significantly More
ENSG00000143621,"(28.61293508537463, 180.81218795575592)",212.6189,Significantly More
ENSG00000084090,"(119.27129252633296, 281.11179595568365)",105.3929,Significantly Less
ENSG00000184007,"(167.60083810979432, 313.84449705360737)",81.7781,Significantly Less
ENSG00000124422,"(129.87106711239886, 399.2944833198106)",73.4048,Significantly Less
ENSG00000074416,"(60.77672746686915, 631.5268859238407)",35.1009,Significantly Less
ENSG00000177733,"(7.604127563117631, 24.584508968547503)",66.4891,Significantly More
ENSG00000061676,"(78.41482973143411, 345.4401911375539)",17.3238,Significantly Less
ENSG00000134107,"(-10.388401684566695, 102.38507603631388)",192.5065,Significantly More
ENSG00000265681,"(70.66793881343688, 363.46855718413303)",10.331,Significantly Less
ENSG00000143882,"(11.489409688798503, 123.18942548326109)",5.8973,Significantly Less
